run,seed,variable,lead_hours,metric,value
baseline17,0,Q250,60.0,acc,0.15974666856977698
baseline17,0,Q250,66.0,acc,0.1290881191935084
baseline17,0,Q250,72.0,acc,0.10412753428444044
baseline17,0,Q250,78.0,acc,0.08144466295889646
baseline17,0,Q250,84.0,acc,0.06358361836843134
baseline17,0,Q250,90.0,acc,0.04993155448443248
baseline17,0,Q250,96.0,acc,0.03826638548077666
baseline17,0,Q250,102.0,acc,0.028188455345209997
baseline17,0,Q250,108.0,acc,0.020068648853919128
baseline17,0,Q250,114.0,acc,0.013639256812225062
baseline17,0,Q250,120.0,acc,0.008744031699982977
baseline17,0,Q500,6.0,rmse,0.0002580533225292509
baseline17,0,Q500,12.0,rmse,0.00041424876209909844
baseline17,0,Q500,18.0,rmse,0.0005199412134556225
baseline17,0,Q500,24.0,rmse,0.0005999341536980257
baseline17,0,Q500,30.0,rmse,0.0006697541700564761
baseline17,0,Q500,36.0,rmse,0.0007287516859110101
baseline17,0,Q500,42.0,rmse,0.0007811698586608941
baseline17,0,Q500,48.0,rmse,0.0008353800169922451
baseline17,0,Q500,54.0,rmse,0.0008999084291298418
baseline17,0,Q500,60.0,rmse,0.0009773411088473537
baseline17,0,Q500,66.0,rmse,0.0010734981017316678
baseline17,0,Q500,72.0,rmse,0.0011990002221738123
baseline17,0,Q500,78.0,rmse,0.001367898155098882
baseline17,0,Q500,84.0,rmse,0.0015966914630110578
baseline17,0,Q500,90.0,rmse,0.0019155445998498399
baseline17,0,Q500,96.0,rmse,0.0023741267417198516
baseline17,0,Q500,102.0,rmse,0.003032391718035832
baseline17,0,Q500,108.0,rmse,0.003933377515702308
baseline17,0,Q500,114.0,rmse,0.005093649036898077
baseline17,0,Q500,120.0,rmse,0.006502312780391998
baseline17,0,Q500,6.0,rmse_climatology,0.0006831534150562498
baseline17,0,Q500,12.0,rmse_climatology,0.0006830466695115641
baseline17,0,Q500,18.0,rmse_climatology,0.0006827280287992915
baseline17,0,Q500,24.0,rmse_climatology,0.0006827645634358622
baseline17,0,Q500,30.0,rmse_climatology,0.0006829591289369246
baseline17,0,Q500,36.0,rmse_climatology,0.0006830779143655346
baseline17,0,Q500,42.0,rmse_climatology,0.0006829774899694773
baseline17,0,Q500,48.0,rmse_climatology,0.0006826571860239166
baseline17,0,Q500,54.0,rmse_climatology,0.000682691598735421
