run,seed,variable,lead_hours,wavenumber,power_ratio
baseline17,0,Q850,24,9,0.8814827769455442
baseline17,0,Q850,24,10,0.8845357260657525
baseline17,0,Q850,24,11,0.8917082496508149
baseline17,0,Q850,24,12,0.8733969475798203
baseline17,0,Q850,24,13,0.9348653343453124
baseline17,0,Q850,24,14,0.9219485188183917
baseline17,0,Q850,24,15,0.9653409858590876
baseline17,0,Q850,24,16,0.9874899299239162
baseline17,0,Q850,24,17,0.979415893872143
baseline17,0,Q850,24,18,0.9487634840310922
baseline17,0,Q850,24,19,0.9733180245579398
baseline17,0,Q850,24,20,1.0218302469483505
baseline17,0,Q850,24,21,0.9801418621275371
baseline17,0,Q850,24,22,1.032208613343377
baseline17,0,Q850,24,23,1.0792309175376344
baseline17,0,Q850,24,24,1.049352048010103
baseline17,0,Q850,24,25,1.0417316786621946
baseline17,0,Q850,24,26,1.110111708570241
baseline17,0,Q850,24,27,1.1059123692128623
baseline17,0,Q850,24,28,1.1052502635372679
baseline17,0,Q850,24,29,1.1494771131241281
baseline17,0,Q850,24,30,1.160366634318136
baseline17,0,Q850,24,31,1.1753543179890844
baseline17,0,Q850,24,32,1.2606555326452111
baseline17,0,TP6h,24,1,0.6792362175012859
baseline17,0,TP6h,24,2,0.6081668071070578
baseline17,0,TP6h,24,3,0.5888255770199256
baseline17,0,TP6h,24,4,0.5026475509939894
baseline17,0,TP6h,24,5,0.4883273524175927
baseline17,0,TP6h,24,6,0.43245752044194946
baseline17,0,TP6h,24,7,0.42235684935209045
baseline17,0,TP6h,24,8,0.4028091991105992
baseline17,0,TP6h,24,9,0.3696348187582104
baseline17,0,TP6h,24,10,0.3475924359395373
baseline17,0,TP6h,24,11,0.3143541342967634
baseline17,0,TP6h,24,12,0.3064882256274814
baseline17,0,TP6h,24,13,0.2904897672600708
baseline17,0,TP6h,24,14,0.2688178823384183
baseline17,0,TP6h,24,15,0.24966250566694959
baseline17,0,TP6h,24,16,0.2532276819111043
baseline17,0,TP6h,24,17,0.23538216035858694
baseline17,0,TP6h,24,18,0.21379842131177537
baseline17,0,TP6h,24,19,0.19141576931763954
baseline17,0,TP6h,24,20,0.1928313627364353
baseline17,0,TP6h,24,21,0.1781761361817662
baseline17,0,TP6h,24,22,0.1635180853907141
baseline17,0,TP6h,24,23,0.1607697963724029
baseline17,0,TP6h,24,24,0.1619535367288617
baseline17,0,TP6h,24,25,0.1502506066761491
baseline17,0,TP6h,24,26,0.1509467842096628
baseline17,0,TP6h,24,27,0.14114669043383782
baseline17,0,TP6h,24,28,0.1391972736381417
baseline17,0,TP6h,24,29,0.1311353305852814
baseline17,0,TP6h,24,30,0.13341953358857703
baseline17,0,TP6h,24,31,0.1422564441885695
baseline17,0,TP6h,24,32,0.1776018316936188
baseline17,0,Z500,120,1,0.825010100932494
baseline17,0,Z500,120,2,0.8023641662990895
baseline17,0,Z500,120,3,0.6742708345947364
baseline17,0,Z500,120,4,0.5551748847208821
baseline17,0,Z500,120,5,0.5135075982393417
baseline17,0,Z500,120,6,0.52737457817661
baseline17,0,Z500,120,7,0.6451858228033153
baseline17,0,Z500,120,8,0.8587771846002943
baseline17,0,Z500,120,9,1.3867790551030883
baseline17,0,Z500,120,10,2.0400361878926896
baseline17,0,Z500,120,11,3.2394929383237625
baseline17,0,Z500,120,12,5.3195021657935655
baseline17,0,Z500,120,13,8.30762961913523
baseline17,0,Z500,120,14,11.17112058360356
baseline17,0,Z500,120,15,17.062834542666497
baseline17,0,Z500,120,16,50.82833805319695
baseline17,0,Z500,120,17,31.743782242552523
baseline17,0,Z500,120,18,36.01579941417736
baseline17,0,Z500,120,19,42.071909320810384
baseline17,0,Z500,120,20,42.85933255662827
baseline17,0,Z500,120,21,49.111808243424186
baseline17,0,Z500,120,22,54.27118954503783
baseline17,0,Z500,120,23,67.53778791523595
baseline17,0,Z500,120,24,82.505660234428
baseline17,0,Z500,120,25,107.39158772668607
baseline17,0,Z500,120,26,132.13489188494262
baseline17,0,Z500,120,27,182.4425908583548
baseline17,0,Z500,120,28,227.09056671111446
baseline17,0,Z500,120,29,289.77867807247475
baseline17,0,Z500,120,30,327.336562445923
baseline17,0,Z500,120,31,374.7319365088748
baseline17,0,Z500,120,32,1094.7047434382175
baseline17,0,T850,120,1,0.9928574361798775
baseline17,0,T850,120,2,0.9672989939342839
baseline17,0,T850,120,3,0.9105138137888338
baseline17,0,T850,120,4,0.8356108250626096
baseline17,0,T850,120,5,0.7259568537436222
baseline17,0,T850,120,6,0.7122190484476412
baseline17,0,T850,120,7,0.7853269837573631
baseline17,0,T850,120,8,0.918419714869793
baseline17,0,T850,120,9,1.1794090750476602
baseline17,0,T850,120,10,1.4383081666997337
baseline17,0,T850,120,11,1.8797404662153385
baseline17,0,T850,120,12,2.324706035405936
baseline17,0,T850,120,13,2.9546768535084387
baseline17,0,T850,120,14,3.5382565584823666
baseline17,0,T850,120,15,4.386458088448997
baseline17,0,T850,120,16,11.52292545515107
baseline17,0,T850,120,17,5.9163297118710005
baseline17,0,T850,120,18,5.176280805473255
baseline17,0,T850,120,19,6.401424917612716
baseline17,0,T850,120,20,5.7015874128353685
baseline17,0,T850,120,21,5.779704837531679
baseline17,0,T850,120,22,6.035429135935157
baseline17,0,T850,120,23,6.230913195542747
baseline17,0,T850,120,24,6.809815927544603
baseline17,0,T850,120,25,8.088443681157354
baseline17,0,T850,120,26,9.154258522500212
baseline17,0,T850,120,27,11.135430470858322
baseline17,0,T850,120,28,14.690222826594068
baseline17,0,T850,120,29,18.14897446836646
baseline17,0,T850,120,30,22.069054155956675
baseline17,0,T850,120,31,25.810570782861816
baseline17,0,T850,120,32,62.64086253763583
baseline17,0,Q850,120,1,0.9085807735437549
baseline17,0,Q850,120,2,0.9174992965014778
baseline17,0,Q850,120,3,0.8796041951415666
baseline17,0,Q850,120,4,0.8600562816023776
baseline17,0,Q850,120,5,0.810431934228891
baseline17,0,Q850,120,6,0.7793301049236858
baseline17,0,Q850,120,7,0.786329078994292
baseline17,0,Q850,120,8,0.8176373398346135
baseline17,0,Q850,120,9,0.8199567183914814
baseline17,0,Q850,120,10,0.8486851860132143
baseline17,0,Q850,120,11,0.9082000628375982
baseline17,0,Q850,120,12,0.9184391809375724
baseline17,0,Q850,120,13,1.0183662592238463
baseline17,0,Q850,120,14,1.0687164868107317
baseline17,0,Q850,120,15,1.1578100509642342
baseline17,0,Q850,120,16,1.9694664626968645
baseline17,0,Q850,120,17,1.3327337180664551
baseline17,0,Q850,120,18,1.2871871267998494
baseline17,0,Q850,120,19,1.3099697886953576
baseline17,0,Q850,120,20,1.350351354612227
baseline17,0,Q850,120,21,1.3448304383604839
baseline17,0,Q850,120,22,1.315859834347811
baseline17,0,Q850,120,23,1.3688721677303017
baseline17,0,Q850,120,24,1.4449864954616864
baseline17,0,Q850,120,25,1.522546378918849
baseline17,0,Q850,120,26,1.6090645056266846
baseline17,0,Q850,120,27,1.7513554063233912
baseline17,0,Q850,120,28,1.869371636193243
baseline17,0,Q850,120,29,2.0300645986898194
baseline17,0,Q850,120,30,2.070624476924421
baseline17,0,Q850,120,31,2.1080586054571735
baseline17,0,Q850,120,32,4.31009577719266
baseline17,0,TP6h,120,1,0.5365681724288783
baseline17,0,TP6h,120,2,0.47291389597454775
baseline17,0,TP6h,120,3,0.40493074374954097
baseline17,0,TP6h,120,4,0.3044317535296958
baseline17,0,TP6h,120,5,0.24917971556994792
baseline17,0,TP6h,120,6,0.20139157361943819
baseline17,0,TP6h,120,7,0.1871945199467645
baseline17,0,TP6h,120,8,0.1760696215089235
baseline17,0,TP6h,120,9,0.15099373518610368
baseline17,0,TP6h,120,10,0.14668902430573322
baseline17,0,TP6h,120,11,0.14400020233793373
baseline17,0,TP6h,120,12,0.15494098165566936
baseline17,0,TP6h,120,13,0.16220401514848615
