epoch,step,train/loss,val/loss_step1,val/loss_step2,val/loss_step3,val/loss_step4
0,9,165.84657287597656,,,,
0,19,102.28250122070312,,,,
0,29,71.1962890625,,,,
0,39,47.10686492919922,,,,
0,49,32.71529006958008,,,,
0,59,22.300390243530273,,,,
0,69,15.33768081665039,,,,
0,79,10.689321517944336,,,,
0,89,7.679461479187012,,,,
0,99,5.663344860076904,,,,
0,109,4.2598090171813965,,,,
0,119,3.513543128967285,,,,
0,129,2.8764688968658447,,,,
0,139,2.4323482513427734,,,,
0,149,2.2530932426452637,,,,
0,159,1.9855616092681885,,,,
0,169,1.5823756456375122,,,,
0,179,1.5656729936599731,,,,
0,189,1.4306766986846924,,,,
0,199,1.1898303031921387,,,,
0,199,,1.1640210151672363,17.390878677368164,126.0517578125,130.8688507080078
0,209,0.9402309060096741,,,,
0,219,1.2120212316513062,,,,
0,229,0.9407143592834473,,,,
0,239,0.8343570828437805,,,,
0,249,0.7875464558601379,,,,
0,259,0.7725729942321777,,,,
0,269,0.6850612163543701,,,,
0,279,0.7257616519927979,,,,
0,289,0.6520594358444214,,,,
0,299,0.6183833479881287,,,,
0,309,0.6229475736618042,,,,
0,319,0.6071305274963379,,,,
0,329,0.508553147315979,,,,
0,339,0.5383612513542175,,,,
0,349,0.5353668332099915,,,,
0,359,0.5002923607826233,,,,
0,369,0.484989732503891,,,,
0,379,0.410849004983902,,,,
0,389,0.46420904994010925,,,,
0,399,0.4051720201969147,,,,
0,399,,0.40128251910209656,1.2612751722335815,5.49614953994751,37.54901885986328
0,409,0.37374064326286316,,,,
0,419,0.39895743131637573,,,,
0,429,0.32871395349502563,,,,
0,439,0.38549089431762695,,,,
0,449,0.3424050807952881,,,,
0,459,0.36011698842048645,,,,
0,469,0.33284223079681396,,,,
0,479,0.3240540623664856,,,,
0,489,0.31755515933036804,,,,
0,499,0.3048049211502075,,,,
0,509,0.3024017810821533,,,,
0,519,0.3333587348461151,,,,
0,529,0.29735973477363586,,,,
0,539,0.2774648070335388,,,,
0,549,0.2747575640678406,,,,
0,559,0.2880973219871521,,,,
0,569,0.2554362714290619,,,,
0,579,0.2618776559829712,,,,
0,589,0.25245314836502075,,,,
0,599,0.33112215995788574,,,,
0,599,,0.30140432715415955,0.7642031908035278,2.763598918914795,12.676523208618164
0,609,0.244993656873703,,,,
0,619,0.24281704425811768,,,,
0,629,0.265462189912796,,,,
1,639,0.23317858576774597,,,,
1,649,0.22236326336860657,,,,
1,659,0.24356895685195923,,,,
1,669,0.21392467617988586,,,,
1,679,0.2315560281276703,,,,
1,689,0.2074524313211441,,,,
1,699,0.21254511177539825,,,,
1,709,0.25039947032928467,,,,
1,719,0.21872177720069885,,,,
1,729,0.2117103487253189,,,,
1,739,0.19887685775756836,,,,
1,749,0.216217041015625,,,,
1,759,0.19584304094314575,,,,
1,769,0.18787914514541626,,,,
1,779,0.2052593231201172,,,,
1,789,0.19859647750854492,,,,
1,799,0.18816746771335602,,,,
1,799,,0.19205531477928162,0.35481005907058716,0.6358587741851807,1.1407781839370728
1,809,0.177031010389328,,,,
1,819,0.18454904854297638,,,,
1,829,0.1842193603515625,,,,
1,839,0.17755770683288574,,,,
1,849,0.1819257289171219,,,,
1,859,0.17076805233955383,,,,
1,869,0.1766156405210495,,,,
1,879,0.1680053323507309,,,,
1,889,0.1674424260854721,,,,
1,899,0.16578949987888336,,,,
1,909,0.16620302200317383,,,,
1,919,0.1660923957824707,,,,
1,929,0.15790721774101257,,,,
1,939,0.16814486682415009,,,,
1,949,0.15864822268486023,,,,
1,959,0.15746332705020905,,,,
1,969,0.15425673127174377,,,,
1,979,0.15275439620018005,,,,
1,989,0.15924108028411865,,,,
1,999,0.1472376137971878,,,,
1,999,,0.1566605120897293,0.2667100727558136,0.41323384642601013,0.6279808282852173
1,1009,0.1497049480676651,,,,
1,1019,0.15016958117485046,,,,
1,1029,0.14784006774425507,,,,
1,1039,0.15051835775375366,,,,
1,1049,0.15387926995754242,,,,
1,1059,0.142471581697464,,,,
1,1069,0.14311984181404114,,,,
1,1079,0.13879430294036865,,,,
1,1089,0.1368713676929474,,,,
1,1099,0.13852426409721375,,,,
1,1109,0.1434757560491562,,,,
1,1119,0.13965466618537903,,,,
1,1129,0.1341564953327179,,,,
1,1139,0.13283398747444153,,,,
1,1149,0.13147038221359253,,,,
1,1159,0.13383781909942627,,,,
1,1169,0.13470228016376495,,,,
1,1179,0.1338324099779129,,,,
1,1189,0.1289905309677124,,,,
1,1199,0.12960609793663025,,,,
1,1199,,0.13295204937458038,0.21708975732326508,0.3190414309501648,0.45641812682151794
1,1209,0.1317579299211502,,,,
1,1219,0.12650159001350403,,,,
1,1229,0.12825709581375122,,,,
1,1239,0.12781108915805817,,,,
1,1249,0.12945038080215454,,,,
1,1259,0.12820422649383545,,,,
1,1269,0.12508270144462585,,,,
2,1279,0.12432259321212769,,,,
2,1289,0.12802499532699585,,,,
2,1299,0.12293890118598938,,,,
2,1309,0.12276657670736313,,,,
2,1319,0.12059313803911209,,,,
2,1329,0.1194130927324295,,,,
2,1339,0.1244593933224678,,,,
2,1349,0.12453669309616089,,,,
2,1359,0.11797282099723816,,,,
2,1369,0.12013000249862671,,,,
2,1379,0.11717621237039566,,,,
2,1389,0.12202867120504379,,,,
2,1399,0.11814392358064651,,,,
2,1399,,0.12176790833473206,0.2032221257686615,0.2988400161266327,0.41933995485305786
2,1409,0.12075557559728622,,,,
2,1419,0.11668960005044937,,,,
2,1429,0.11627424508333206,,,,
2,1439,0.1191953793168068,,,,
2,1449,0.1143626719713211,,,,
2,1459,0.11669286340475082,,,,
2,1469,0.11408790200948715,,,,
2,1479,0.11802630126476288,,,,
2,1489,0.11561272293329239,,,,
2,1499,0.11712692677974701,,,,
2,1509,0.1118471771478653,,,,
2,1519,0.11607204377651215,,,,
2,1529,0.1154433935880661,,,,
2,1539,0.10907947272062302,,,,
2,1549,0.11575726419687271,,,,
2,1559,0.11202217638492584,,,,
2,1569,0.11609265208244324,,,,
2,1579,0.11607818305492401,,,,
2,1589,0.1119050681591034,,,,
2,1599,0.10960716009140015,,,,
2,1599,,0.11412595957517624,0.1864452064037323,0.2636031210422516,0.35099926590919495
2,1609,0.10959187150001526,,,,
2,1619,0.1134411171078682,,,,
2,1629,0.11193139851093292,,,,
2,1639,0.11071502417325974,,,,
2,1649,0.11018930375576019,,,,
2,1659,0.1079735979437828,,,,
2,1669,0.1146494448184967,,,,
2,1679,0.10822182148694992,,,,
2,1689,0.11135870218276978,,,,
2,1699,0.11046530306339264,,,,
2,1709,0.11018571257591248,,,,
2,1719,0.1104857549071312,,,,
2,1729,0.10954876989126205,,,,
2,1739,0.11009082943201065,,,,
2,1749,0.10741724073886871,,,,
2,1759,0.10496796667575836,,,,
2,1769,0.11244844645261765,,,,
2,1779,0.11104360967874527,,,,
2,1789,0.1045089140534401,,,,
2,1799,0.10692358762025833,,,,
2,1799,,0.11111602187156677,0.18196482956409454,0.2566942572593689,0.3432099521160126
2,1809,0.10705584287643433,,,,
2,1819,0.1070617213845253,,,,
2,1829,0.10769440978765488,,,,
2,1839,0.10854849219322205,,,,
2,1849,0.10750463604927063,,,,
2,1859,0.11014840006828308,,,,
2,1869,0.10451696068048477,,,,
2,1879,0.11124706268310547,,,,
2,1889,0.10457896441221237,,,,
2,1899,0.10693246871232986,,,,
2,1909,0.11324203014373779,,,,
3,1919,0.10310233384370804,,,,
3,1929,0.10612588375806808,,,,
3,1939,0.10540283471345901,,,,
3,1949,0.10898265242576599,,,,
3,1959,0.10533129423856735,,,,
3,1969,0.10563486814498901,,,,
3,1979,0.10622440278530121,,,,
3,1989,0.10500244796276093,,,,
3,1999,0.10635479539632797,,,,
3,1999,,0.11022260785102844,0.17978215217590332,0.25199368596076965,0.33213573694229126
