run,seed,variable,lead_hours,metric,value
baseline17,0,Q250,60.0,acc,0.04740353008693384
baseline17,0,Q250,66.0,acc,0.02404300488398761
baseline17,0,Q250,72.0,acc,0.006118078586362574
baseline17,0,Q250,78.0,acc,-0.00858942604123786
baseline17,0,Q250,84.0,acc,-0.018625777282036175
baseline17,0,Q250,90.0,acc,-0.024634193578917253
baseline17,0,Q250,96.0,acc,-0.02813289841364344
baseline17,0,Q250,102.0,acc,-0.030466552244940652
baseline17,0,Q250,108.0,acc,-0.03174288262447721
baseline17,0,Q250,114.0,acc,-0.032883108300527424
baseline17,0,Q250,120.0,acc,-0.032013909069733226
baseline17,0,Q500,6.0,rmse,0.0003718355245750106
baseline17,0,Q500,12.0,rmse,0.00047853734704210004
baseline17,0,Q500,18.0,rmse,0.0005665313574175304
baseline17,0,Q500,24.0,rmse,0.0006490756982250218
baseline17,0,Q500,30.0,rmse,0.0007342144982074206
baseline17,0,Q500,36.0,rmse,0.0008243352653230938
baseline17,0,Q500,42.0,rmse,0.0009300908239607712
baseline17,0,Q500,48.0,rmse,0.0010674650938081712
baseline17,0,Q500,54.0,rmse,0.0012561774066337536
baseline17,0,Q500,60.0,rmse,0.0015156436172475867
baseline17,0,Q500,66.0,rmse,0.0018657588111459082
baseline17,0,Q500,72.0,rmse,0.0023173509842695818
baseline17,0,Q500,78.0,rmse,0.002851039538825153
baseline17,0,Q500,84.0,rmse,0.003415088176093328
baseline17,0,Q500,90.0,rmse,0.0039003284513554246
baseline17,0,Q500,96.0,rmse,0.004219629354301795
baseline17,0,Q500,102.0,rmse,0.004384058926524611
baseline17,0,Q500,108.0,rmse,0.004438946957434303
baseline17,0,Q500,114.0,rmse,0.0044574218892837825
baseline17,0,Q500,120.0,rmse,0.004544444058115267
baseline17,0,Q500,6.0,rmse_climatology,0.0006831534150562498
baseline17,0,Q500,12.0,rmse_climatology,0.0006830466695115641
baseline17,0,Q500,18.0,rmse_climatology,0.0006827280287992915
baseline17,0,Q500,24.0,rmse_climatology,0.0006827645634358622
baseline17,0,Q500,30.0,rmse_climatology,0.0006829591289369246
baseline17,0,Q500,36.0,rmse_climatology,0.0006830779143655346
baseline17,0,Q500,42.0,rmse_climatology,0.0006829774899694773
baseline17,0,Q500,48.0,rmse_climatology,0.0006826571860239166
baseline17,0,Q500,54.0,rmse_climatology,0.000682691598735421
baseline17,0,Q500,60.0,rmse_climatology,0.0006828771219046792
baseline17,0,Q500,66.0,rmse_climatology,0.0006829823064687919
baseline17,0,Q500,72.0,rmse_climatology,0.0006828699661071477
baseline17,0,Q500,78.0,rmse_climatology,0.0006825198970326708
baseline17,0,Q500,84.0,rmse_climatology,0.0006825740151594135
baseline17,0,Q500,90.0,rmse_climatology,0.0006827644177044798
baseline17,0,Q500,96.0,rmse_climatology,0.0006828774480533256
baseline17,0,Q500,102.0,rmse_climatology,0.0006827949940516311
baseline17,0,Q500,108.0,rmse_climatology,0.0006824462260645012
baseline17,0,Q500,114.0,rmse_climatology,0.0006825103067809391
baseline17,0,Q500,120.0,rmse_climatology,0.0006826688227663783
baseline17,0,Q500,6.0,skill,0.45570714223188913
baseline17,0,Q500,12.0,skill,0.29940753918865526
baseline17,0,Q500,18.0,skill,0.1701946697371064
baseline17,0,Q500,24.0,skill,0.049341847856468446
baseline17,0,Q500,30.0,skill,-0.07504895549207857
baseline17,0,Q500,36.0,skill,-0.2067953713431998
baseline17,0,Q500,42.0,skill,-0.3618176845071974
baseline17,0,Q500,48.0,skill,-0.5636912870214377
baseline17,0,Q500,54.0,skill,-0.8400364219519108
baseline17,0,Q500,60.0,skill,-1.2194968444984031
baseline17,0,Q500,66.0,skill,-1.7317820585900665
baseline17,0,Q500,72.0,skill,-2.393546501217731
baseline17,0,Q500,78.0,skill,-3.1772255303037404
baseline17,0,Q500,84.0,skill,-4.0032496113930485
baseline17,0,Q500,90.0,skill,-4.712553774358522
baseline17,0,Q500,96.0,skill,-5.179189789223038
